Index,Bar,Type,Adresse,Code Postal,Quartier,Pays,Latitude,Longitude,Consommateur,Prix,Note,Commentaire AR,Commentaire VB
180,Frit Cocq,,"Pl. Fernand Cocq, 12 1050 Ixelles",1050,Ixelles,Belgique,,,VB,,,,
181,GC De Markten,,"Rue Vieux Marché aux Grains, 5 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
182,GC Elzenhof,,"Avenue de la Couronne, 12 1050 Ixelles",1050,Ixelles,Belgique,,,,,,,
183,Gimic radio & bar,,"Vossenstraat, 9 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
184,Ginette Bar Cimdix,Bar,"Av. de l'Université, 1 1050 Ixelles",1050,Ixelles,Belgique,50.8145502,4.3867763,VB,,,,
185,Ginette Bar Plux,Bar,"Pl. du Luxembourg, 5 1050 Ixelles",1050,Ixelles,Belgique,50.8391637,4.3728234,VB,2.0,3.0,,"Bar de Plux, rien de fou"
186,Gist,Bar,"Place de la Vieille Halle aux Blés, 30 1000 Bruxelles",1000,Bruxelles,Belgique,,,VB,2.0,5.0,,De bonnes bières avec vu sur Jacques Brel
187,Goupil Le Fol,,"Rue de la Violette, 22 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
188,Grand Central,,"Rue Belliard, 190 1040 Etterbeek",1040,Etterbeek,Belgique,50.8405049,4.378385,,,,,
189,Green Lab,,"Avenue Louise, 520 1000 Bruxelles",1000,Bruxelles,Belgique,50.8158422,4.3725959,,,,,
190,Gretta’s,,"Rue de la violette, 32 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
191,Guinguette Andre,Guinguette,Parc de Laeken 1000 Bruxelles,1000,Bruxelles,Belgique,,,,,,,
192,Guinguette bar Jeanne,,Rouge-Cloître 1160 Auderghem,1160,Auderghem,Belgique,50.8163825,4.4382862,,,,,
193,Guinguette Gisèle,,Jardins de l'Abbaye de la Cambre 1050 Ixelles,1050,Ixelles,Belgique,,,,,,,
194,Guinguette Henri,,Parc Georges Henri 1200 Woluwe-Saint-Lambert,1200,Woluwe-Saint-Lambert,Belgique,,,,,,,
195,Guinguette Maurice,Guinguette,Parc du Cinquantenaire 1000 Bruxelles,1000,Bruxelles,Belgique,50.8402489,4.3939746,VB,,,,
196,Guinguette Parc du Roi Baudouin - Bar Fabiola,,Parc Roi Baudouin 1090 Jette,1090,Jette,Belgique,,,,,,,
197,Gullivers Bar,,Bruxelles National Airport 1930 Nossegem,1930,Nossegem,Belgique,,,,,,,
198,Havana,,"Rue de l'Epée, 4 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
199,Homoerectus by Spit It Out,,"Kolenmarkt, 5 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
200,Hoppy Loft,,"Getrouwheidsgang, 4A 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
201,In 't Spinnekopke,,"Place du Jardin aux fleurs, 1 1000 Bruxelles",1000,Bruxelles,Belgique,50.8483431,4.3435423,,,,,
202,Inanna,Bar,"Parv. de Saint-Gilles, 14 1060 Saint-Gilles",1060,Saint-Gilles,Belgique,,,ALL,2.0,3.0,On a appelé Basile,
203,Jalousy Bar,Club,"Rue Haute, 4 1000 Bruxelles",1000,Bruxelles,Belgique,,,VB,,,,
204,Jam,,"Chaussée de Charleroi, 132 1060 Saint-Gilles",1060,Saint-Gilles,Belgique,50.8332446,4.3572026,,,,,
