Index,Bar,Type,Adresse,Code Postal,Quartier,Pays,Latitude,Longitude,Consommateur,Prix,Note,Commentaire AR,Commentaire VB
326,Le Roi des Belges,Bar,"Rue Jules Van Praet, 35 1000 Bruxelles",1000,Bruxelles,Belgique,,,VB,,,,
327,Le Roy d’Espagne,Horeca,"Grand place, 1 1000 Bruxelles",1000,Bruxelles,Belgique,50.8467139,4.3525151,VB,3.0,3.0,,"Grand restaurant en plein Grand Place. Tu payes le lieu, très touristique"
328,Le Saint-Paul,,"Bd du Souverain, 163 1160 Auderghem",1160,Auderghem,Belgique,50.8163653,4.4265977,VB,,,,
329,Le Seventy-Five,Bar,"Rue des Alexiens, 75 1000 Bruxelles",1000,Bruxelles,Belgique,50.8434942,4.3497434,VB,,,,
330,Le Sportif,Bar,"Av. du Parc, 77 1060 Saint-Gilles",1060,Saint-Gilles,Belgique,,,AR,1.0,3.0,"Humble bar de quartier, parfait pour une pause bière par cher",
331,Le Stoefer,Bar à cocktails,"Rue de l'Aqueduc, 103 1050 Ixelles",1050,Ixelles,Belgique,50.8241534,4.3592265,VB,3.0,4.0,,"Bon cocktail, personnalisable à la demande. Grande variété de GGin, Rhum, Whisky"
332,Le Stoemelings,Bar,"Place de Londres, 7 1050 Ixelles",1050,Ixelles,Belgique,50.8378018,4.3684473,VB,,,,
333,Le Strof,,"Rue Haute, 2 1000 Bruxelles",1000,Bruxelles,Belgique,50.8421084,4.3523335,VB,,,,
334,Le Super,,"Rue des Minimes, 26 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
335,Le Tavernier,Bar,Chaussée de Boondael 1050 Ixelles,1050,Ixelles,Belgique,50.8114128,4.391876,VB,2.0,3.0,,"Bar étudiant, plutot festif en fin de semaine"
336,Le Tigre,Bar,"Rue de la Brasserie, 117 1050 Ixelles",1050,Ixelles,Belgique,,,VB,,,,
337,Le TRAC,,"Rue Albert Meunier, 110 1160 Auderghem",1160,Auderghem,Belgique,50.8096511,4.436683,,,,,
338,Le Vieux Saint Josse,,"Place Saint-Josse, 2 1210 Saint-Josse-ten-Noode",1210,Saint-Josse-ten-Noode,Belgique,50.8495538,4.3737382,,,,,
339,Le Vintage,,"Rue Haute, 9 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
340,Les Gens Que J'aime,,Rue du Midi 1000 Bruxelles,1000,Bruxelles,Belgique,50.8456784,4.3492804,,,,,
341,Les Halles de Schaerbeek,,Rue Royale Sainte-Marie 1030 Schaerbeek,1030,Schaerbeek,Belgique,50.8663882,4.3729752,,,,,
342,LIB,,"Rue Antoine Dansaert, 161 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
343,Life is Beautiful,,"Rue Antoine Dansaert, 161 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
344,LionCity,,"Osseghemstraat, 53 1080 Molenbeek-Saint-Jean",1080,Molenbeek-Saint-Jean,Belgique,50.8551889,4.320073,,,,,
345,Little Delirium,,"Rue du Marché aux Fromages, 7-9 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
346,Live Central Park,,"Av. des Azalées, 41 1030 Schaerbeek",1030,Schaerbeek,Belgique,,,VB,,,,
347,Livresse - Bar à Livres,,"Rue du Marché aux Porcs, 26 1000 Bruxelles",1000,Bruxelles,Belgique,50.8535483,4.345705,,,,,
348,LOFT,,"Rue de Namur, 51 1000 Bruxelles",1000,Bruxelles,Belgique,50.8398512,4.3601472,,,,,
349,Lombric,,"Everardlaan, 15 1190 Forest",1190,Forest,Belgique,,,,,,,
350,London Bar,,"Rue Auguste Orts, 16 1000 Bruxelles",1000,Bruxelles,Belgique,50.8485342,4.3485494,VB,,,,
351,London Brasserie,,"Pl. du Luxembourg, 8 1050 Ixelles",1050,Ixelles,Belgique,50.8394752,4.3730706,VB,2.0,3.0,,"Bar de Plux, rien de fou"
352,London Calling,Pub,"Rue de Dublin, 46 1050 Ixelles",1050,Ixelles,Belgique,,,,,,,
353,Lord Byron,,"Rue des Chartreux, 1000 Bruxelles",1000,Bruxelles,Belgique,50.8484621,4.3446118,,,,,
354,LR6,,"Rue Haute, 204 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
355,Lucky Club,Bar,"Av. des Saisons, 92 1050 Ixelles",1050,Ixelles,Belgique,50.8184096,4.3880382,VB,,,,LE bar pour jouer au billard - Un vrai western en plein Cimetière d'Ixelles
356,Maison Renardy,,"Chaussée de Wavre, 111 B 1050 Ixelles",1050,Ixelles,Belgique,,,,,,,
357,Mangakat Café,,"Rue Royale, 316 1210 Saint-Josse-Ten-Noode",1210,Saint-Josse-Ten-Noode,Belgique,50.8535086,4.3660026,,,,,
358,Manneken Pis,,"Rue des Grands Carmes, 31-33 1000 Bruxelles",1000,Bruxelles,Belgique,50.8451435,4.349379,,,,,
359,Mappa Mundo,,"Rue du Pont de la Carpe, 2 1000 Bruxelles",1000,Bruxelles,Belgique,50.8484721,4.3476819,VB,,,,
360,Market of Place Flagey,,Place Flagey 1050 Ixelles,1050,Ixelles,Belgique,50.8281172,4.37181,VB,,,,
361,Market of Place Van Meenen,,Place Van Meenen 1060 Saint-Gilles,1060,Saint-Gilles,Belgique,50.8247256,4.3464698,,,,,
362,Maxburg Café,,"Rue Stevin, 108 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
363,Mazette,,"Place du Jeu de Balle, 50 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
364,MelKafé,,"Avenue Georges Henri, 300 1200 Woluwe-Saint-Lambert",1200,Woluwe-Saint-Lambert,Belgique,50.843466,4.4107183,,,,,
365,Meltdown Brussels,,"Av. de l'Université, 3 1050 Ixelles",1050,Ixelles,Belgique,,,VB,,,,"Bar de geek (jeux vidéos, retransmission e-sport, etc)"
366,Michael Collins,,"Rue du Bailli, 1 1000 Bruxelles",1000,Bruxelles,Belgique,50.8269725,4.3629708,,,,,Ancien nom du BBP Bailli
367,Moeder Lambic Fontainas,Bar,"Place Fontainas, 8 1000 Bruxelles",1000,Bruxelles,Belgique,,,VB,2.0,4.0,,Chouette place
368,Moeder Lambic Original,Bar,"Rue de Savoie, 68 1060 Saint-Gilles",1060,Saint-Gilles,Belgique,,,ALL,2.0,4.0,,
369,Moka - Coffee & Pastry,,"Rue des Riches Claires, 5 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
370,Monk,,"Rue Sainte Catherine, 42 1000 Bruxelles",1000,Bruxelles,Belgique,50.8498923,4.3481564,,,,,
371,Mood Bar,,"Rue Voot, 16 1200 Woluwe-Saint-Lambert",1200,Woluwe-Saint-Lambert,Belgique,,,,,,,
372,Muntpunt Café,,"rue Léopold, 2 1000 Bruxelles",1000,Bruxelles,Belgique,50.849602,4.354924,,,,,
373,Murphy’s Law,,Midi Gare 1060 Bruxelles,1060,Bruxelles,Belgique,,,,,,,
374,New Plasky,,"Square Eugène Plasky, 91 1030 Schaerbeek",1030,Schaerbeek,Belgique,50.8510308,4.3969742,,,,,
375,Non Peut-être,,"Rue de Dublin, 44 1050 Ixelles",1050,Ixelles,Belgique,50.8377462,4.3676498,,,,,
376,O'Regua,Pub,"Chau. de Boondael, 26 1050 Ixelles",1050,Ixelles,Belgique,,,VB,,,,
377,O'Reilly's,Bar,"Place de la Bourse, 1 1000 Bruxelles",1000,Bruxelles,Belgique,50.8483105,4.3495925,VB,2.0,4.0,,Super endroit pour voir les matchs
378,P'tit café,,"Rue des Renards, 1C 1000 Bruxelles",1000,Bruxelles,Belgique,50.8371557,4.3470375,VB,,,,
379,Païdia,,"Chaussée de Wavre, 2057 1160 Auderghem",1160,Auderghem,Belgique,50.8084768,4.4419756,,,,,
380,Palette Wine Bar,,"Rue des Alexiens, 73 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
381,Pam Pam,,"Rue de l'Aqueduc, 111 1050 Ixelles",1050,Ixelles,Belgique,50.8240183,4.3597092,VB,,,,
382,Parents Terribles,,"Chaussée de Waterloo, 203 1060 Saint-Gilles",1060,Saint-Gilles,Belgique,50.8259075,4.3464576,,,,,
383,Parlor Coffee,,"Chaussée de Charleroi, 203 1060 Saint-Gilles",1060,Saint-Gilles,Belgique,,,,,,,
384,Parvis de Saint-Gilles market,,Parvis de Saint Gilles 1060 Saint-Gilles,1060,Saint-Gilles,Belgique,,,,,,,
385,Pentahotel Bruxelles City Centre,,"Chaussée de Charleroi, 38 1060 Saint-Gilles",1060,Saint-Gilles,Belgique,50.8332446,4.3572026,,,,,
386,Pepete & Ronron,Bar à vin,"Rue Léon Lepage, 53 1000 Bruxelles",1000,Bruxelles,Belgique,,,VB,,,,
387,Pepete & Ronron,Bar à vin,"Place du Châtelain, 33 1050 Ixelles",1050,Ixelles,Belgique,50.8243001,4.360706,VB,,,,
388,Pepete & Ronron,Bar à vin,"Rue Froissart, 1 1040 Etterbeek",1040,Etterbeek,Belgique,50.8377137,4.3818268,,,,,
389,Perruche,Bistro,"Rue des Alliés 113, 1190 Forest",1190,Forest,Belgique,,,AR,2.0,3.0,,
390,Pharmacie Anglaise,Bar à cocktails,"Coudenberg, 66 1000 Bruxelles",1000,Bruxelles,Belgique,,,VB,3.0,4.0,,Cockail bon mais chère. Le lieu est surprenant
391,Pianocktail,,"Rue Haute, 304 1000 Bruxelles",1000,Bruxelles,Belgique,50.8350436,4.3468663,,,,,
392,Picpoul,,"Avenue Oscar Van Goidtsnoven, 100 1190 Forest",1190,Forest,Belgique,50.8158474,4.3370101,,,,,
393,Planchette - Wine Bar,Bar à vin,"Pl. Saint-Antoine, 18 1040 Etterbeek",1040,Etterbeek,Belgique,50.8291839,4.3872201,VB,,,,
394,Planet Cocktails,,"Rue du Marché aux Fromages, 18 1000 Bruxelles",1000,Bruxelles,Belgique,50.8457351,4.3532655,,,,,
395,Play Label Rooftop,,"Bowling Crosly Rue des Alexiens, 97 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
396,Playground,,"Rue Washington, 76 1050 Ixelles",1050,Ixelles,Belgique,,,,,,,
397,Plein Publiek,,"Mont des Arts, 5 1000 Bruxelles",1000,Bruxelles,Belgique,50.8447311,4.3569358,VB,,,,
398,Plumette,,"Rue de l'Epée, 26 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
399,Poechenellekelder,Bar,"Rue du Chêne, 5 1000 Bruxelles",1000,Bruxelles,Belgique,,,VB,3.0,5.0,,Bar historique en face du Manneken Piss. Décor digne d'un musée
400,Point Bar,,"Rue du Pépin, 39 1000 Bruxelles",1000,Bruxelles,Belgique,50.8387679,4.3603093,,,,,
401,Pois Chiche,,"Kapellemarkt, 15 1000 Bruxelles",1000,Bruxelles,Belgique,50.8413495,4.3513789,,,,,
402,POP UP Sablon,,"Place du Grand Sablon, 15 1000 Bruxelles",1000,Bruxelles,Belgique,50.8411833,4.3548653,,,,,
403,Potiche Cabaret - Bar,,"Korte Boterstraat, 10 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
404,Public House 12,,"Pl. de Londres, 12 1050 Ixelles",1050,Ixelles,Belgique,50.8381001,4.3681416,VB,,,,
405,Pullman,,"Pl. du Luxembourg, 12 1050 Ixelles",1050,Ixelles,Belgique,50.8395631,4.3726333,VB,2.0,3.0,,
406,Python,,"Avenue Emile Max, 55 1030 Schaerbeek",1030,Schaerbeek,Belgique,,,,,,,
407,Quai Des Bananes,,"Rue Des Pierres, 28 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
408,Quartier Léopold,Bar,"Place du Luxembourg, 9 1050 Ixelles",1050,Ixelles,Belgique,,,VB,2.0,3.0,,"Bar de Plux, rien de fou"
409,Rainbowhouse,,"Rue du Marché au Charbon, 42 1000 Bruxelles",1000,Bruxelles,Belgique,50.8460383,4.3484941,,,,,
410,Recyclart,,"Rue de Manchester, 13/15 1080 Molenbeek-Saint-Jean",1080,Molenbeek-Saint-Jean,Belgique,50.8480169,4.3289443,VB,1.0,4.0,,Lieu d'expo et concerts
411,Red Monkey,,"Rue de l'Aqueduc, 109 1050 Ixelles",1050,Ixelles,Belgique,,,,,,,
412,Residence Palace Brasserie,,"Rue de la Loi, 155 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
413,Restaurant Bar 142,,"Rue Philippe Baucq, 142 1040 Etterbeek",1040,Etterbeek,Belgique,50.8300354,4.3803568,VB,,,,
414,RITCS Cinema,,"Rue Antoine Dansaert, 70 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
415,Rock Classic Bar,,"Rue du Marché au Charbon, 55 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
416,Rooster’s,,"Rue Grétry, 79 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
417,Roxi,,"Rue du Bailli, 82 1050 Ixelles",1050,Ixelles,Belgique,,,,,,,
418,Rubis,,"Avenue Adolphe Demeur, 34 1060 Saint-Gilles",1060,Saint-Gilles,Belgique,,,,,,,
419,Ruck ‘n Maul,,"Bd Du Triomphe, 52 1160 Auderghem",1160,Auderghem,Belgique,,,,,,,
420,S-Bar,,"Chaussée de Louvain, 650 1030 Schaerbeek",1030,Schaerbeek,Belgique,50.8515758,4.3846493,,,,,
421,Sake Bar Bruxelles,,"Rue Juste Lipse, 17 1040 Etterbeek",1040,Etterbeek,Belgique,,,,,,,
422,Sauna Macho,,"Rue du Marché au Charbon, 106 1000 Bruxelles",1000,Bruxelles,Belgique,50.8452658,4.3474299,,,,,
423,Sazz N Jazz,,"Boulevard Bischoffsheim, 38B 1000 Bruxelles",1000,Bruxelles,Belgique,50.8525939,4.3666016,,,,,
424,Scott's Bar,,"Warmoesberg, 2 1000 Bruxelles",1000,Bruxelles,Belgique,50.8500313,4.3572166,,,,,
425,Scott’s Cafe-Bar,,"Rue Montagne aux Herbes Potagères, 2 1000 Bruxelles",1000,Bruxelles,Belgique,50.8500313,4.3572166,,,,,
426,Sky Bar 58,,"Bruxelles, Région de Bruxelles-Capitale 1000 Bruxelles",1000,Bruxelles,Belgique,50.8975478,4.3391433,,,,,
427,Skylab,,"Quai au Bois à Brûler, 9 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
428,Smoods,,"Rue Royale, 250 1210 Saint-Josse-ten-Noode",1210,Saint-Josse-ten-Noode,Belgique,50.8535086,4.3660026,,,,,
429,Sounds Jazz Club,,"Tulpstraat, 28 1050 Ixelles",1050,Ixelles,Belgique,,,,,,,
430,Sphinx,,"Rue du Marché aux Fromages, 20 1000 Bruxelles",1000,Bruxelles,Belgique,50.8457022,4.3533263,,,,,
431,Stam,,"Rue Bouré, 1 1050 Ixelles",1050,Ixelles,Belgique,50.8354557,4.366268,,,,,
432,Stammbar,,"Rue du Marché au Charbon, 114 1000 Bruxelles",1000,Bruxelles,Belgique,50.8452082,4.3472006,,,,,
433,Station BXL,,Rue du Marché au Charbon 1000 Bruxelles,1000,Bruxelles,Belgique,50.8460383,4.3484941,,,,,
434,Supra Bailly,Bar,"Rue du Bailli, 77 1050 Ixelles",1050,Ixelles,Belgique,,,VB,,,,
435,TANDEM fiets | café | vélo,,"Avenue des Arts, 7 1210 Saint-Josse-Ten-Noode",1210,Saint-Josse-Ten-Noode,Belgique,50.8485258,4.3693511,,,,,
436,Tapas@atelier,,"Tour Et Taxis Avenue Du Port, 86c 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
437,Tarzan,Bar à vin,"Rue Washington, 59 1050 Ixelles",1050,Ixelles,Belgique,,,VB,2.0,5.0,,"Bon vin, bonne bouffe"
438,Taverne Diamant,,"Avenue Léon Mahillon, 60-62 1030 Schaerbeek",1030,Schaerbeek,Belgique,50.8502308,4.3912277,,,,,
439,Taverne La Chasse,,"Chau. de Wavre, 667 1040 Etterbeek",1040,Etterbeek,Belgique,,,VB,,,,
440,Taverne Liedts,,"Place Liedts, 29 1030 Schaerbeek",1030,Schaerbeek,Belgique,,,,,,,
441,The Avocado Show,,"Boulevard Anspach, 66 1040 Bruxelles",1040,Bruxelles,Belgique,50.8488631,4.3504542,,,,,
442,The Bank,,"Rue du Bailli, 79 1050 Ixelles",1050,Ixelles,Belgique,50.8257006,4.3595609,VB,,,,
443,The Beer Factory,Bar,"Pl. du Luxembourg, 6 1050 Ixelles",1050,Ixelles,Belgique,50.8387664,4.3728381,VB,2.0,3.0,,Tu penses que tu vas avoir un large choix de bière quand tu vois le nom du bar : C'est FAUX
444,The BeerLab Rooftop,Bar,"Bd Anspach, 80 1000 Bruxelles",1000,Bruxelles,Belgique,,,AR,2.0,4.0,Touristique mais sympa la vue,
445,The Beers Garden,,"Pl. Sainte-Catherine, 5/7 1000 Bruxelles",1000,Bruxelles,Belgique,50.8507305,4.3476948,VB,,,,
446,The Big Game,,"Rue Henri Maus, 5-7 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
447,The Black Sheep,Pub,"Chau. de Boondael, 8 1050 Ixelles",1050,Ixelles,Belgique,,,VB,,,,
448,The Crazy Circle,,"Rue du Prince Royal, 11 1050 Ixelles",1050,Ixelles,Belgique,,,,,,,
449,The First,Brasserie,"Pl. Jourdan, 42 1040 Etterbeek",1040,Etterbeek,Belgique,,,ALL,2.0,3.0,,
450,The Gossip,,"Rue Ernest Solvay, 10 1050 Ixelles",1050,Ixelles,Belgique,,,,,,,
451,The Green Man Bar,,"Rue des chapeliers, 20 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
452,The Hairy Canary,,"Rue Archimede, 12 1000 Bruxelles",1000,Bruxelles,Belgique,50.8444636,4.3836974,,,,,
453,The Jars of BELvue,,"Place des Palais, 7 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
454,The Meeting Point,,"Rue du Taciturne, 39 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
455,The Modern Alchemist,,"Avenue Adolphe Demeur, 55 1060 Saint-Gilles",1060,Saint-Gilles,Belgique,,,,,,,
456,The Network,,"Pl. du Luxembourg, 10 1050 Ixelles",1050,Ixelles,Belgique,50.8395157,4.3728707,VB,2.0,3.0,,"Bar de Plux, rien de fou"
457,The New Break,,"Rue Ravenstein, 8 1000 Bruxelles",1000,Bruxelles,Belgique,50.8442549,4.3589699,,,,,
458,The News Bar,,"Boulevard Charlemagne, 11 1000 Bruxelles",1000,Bruxelles,Belgique,50.845388,4.3826352,,,,,
459,The Old Oak,,"Rue Franklin, 26 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
460,The Pentalounge,,"Charleroise Steenweg, 38 1060 Saint-Gilles",1060,Saint-Gilles,Belgique,,,,,,,
461,The People,,Avenue Toison d'OR Bruxelles 1000 Bruxelles,1000,Bruxelles,Belgique,50.8379646,4.3611984,,,,,
462,The Red Rabbit In  Kilt,,"Rue de la Madeleine, 23 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
463,"The Roof, by the 1040",,"Jourdanplein, 1 1040 Etterbeek",1040,Etterbeek,Belgique,50.8370939,4.3812628,,,,,
464,The Sister Bruxelles Café,,"Rue Chair et Pain, 3 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
465,The Sneakers Cafe,,"Petite rue des bouchers, 6 1000 Bruxelles",1000,Bruxelles,Belgique,50.8476238,4.3532023,,,,,
466,The Twelve,,"Rue de la Loi, 75 1040 Etterbeek",1040,Etterbeek,Belgique,,,,,,,
467,The Why Café,,"Rue de Laeken, 12 1000 Bruxelles",1000,Bruxelles,Belgique,50.8514133,4.3504215,,,,,
468,The Wild Geese,Pub,"Avenue Livingstone, 24 1000 Bruxelles",1000,Bruxelles,Belgique,,,VB,2.0,3.0,,"Bar de sport. sympa pour voir des matchs,"
469,The Wild Rover Irish Pub & Sports Bar,Pub,"Rue Joseph II, 100 1000 Bruxelles",1000,Bruxelles,Belgique,50.8448688,4.3773554,VB,,,,
470,Tich,Café,"Rue de Namur, 25 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
471,Time Out Pub,,"Rue Auguste Orts, 32 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
472,Titulus,Bar à vin,"Chaussée de Wavre, 167a 1050 Ixelles",1050,Ixelles,Belgique,,,VB,2.0,5.0,,"Cave à vin, bonne bouffe"
473,Toon’s Land,,"Boulevard du Centenaire, 20 1020 Bruxelles",1020,Bruxelles,Belgique,50.8954036,4.3374033,,,,,
474,Tortue,,"Rue Edith Cavell, 34 1180 Uccle",1180,Uccle,Belgique,,,,,,,
475,Uncle Richard’s,,"Pl. de Londres, 10 1050 Elsene",1050,Elsene,Belgique,,,,,,,
476,Velvet Club,,"Rue du Pépin, 41 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
477,Vertigo,Bar à cocktails,"Rue de Rollebeek, 7 1000 Bruxelles",1000,Bruxelles,Belgique,,,VB,3.0,4.0,,Très bon cocktail. vaut le détour pour sa cour intérieur
478,Vester Bar,,"Place du Luxembourg, 13 1050 Ixelles",1050,Ixelles,Belgique,,,,,,,
479,Viaduc,Bar,"Rue du Viaduc, 33 1050 Ixelles",1050,Ixelles,Belgique,,,VB,1.0,,,Bar de quartier
480,Victor Bar & Restaurant,,"Place Victor Horta, 1 1060 Saint-Gilles",1060,Saint-Gilles,Belgique,50.8366663,4.3344661,,,,,
481,Victoria,,"Avenue de la Toison d'Or, 11 1050 Ixelles",1050,Ixelles,Belgique,50.8377468,4.360819,,,,,
482,Viticolo,,"Rue Archimède, 18 1000 Bruxelles",1000,Bruxelles,Belgique,50.8445835,4.3835884,,,,,
483,Waff,,"Chaussée de Boondael, 455 1050 Ixelles",1050,Ixelles,Belgique,50.8163265,4.3892041,,,,,
484,Wall Street Café,,"Rue de la Loi, 17 1040 Etterbeek",1040,Etterbeek,Belgique,,,,,,,
485,Wiel’s Renard Noir,,"Rue Haute, 233 1000 Bruxelles",1000,Bruxelles,Belgique,50.8367739,4.3481396,,,,,
486,Wine Shack,,"Rue De L'enseignement, 124 1000 Bruxelles",1000,Bruxelles,Belgique,50.8493854,4.3656849,,,,,
487,Winehouse Osteria,,"Rue de la Grande Île, 42 1000 Bruxelles",1000,Bruxelles,Belgique,50.8464787,4.3467162,,,,,
488,Winery,,"Rue des Trois Tilleuls, 1 1170 Watermael-Boitsfort",1170,Watermael-Boitsfort,Belgique,50.7992672,4.4181507,,,,,
489,Winery,,"Place Georges Brugmann, 18 1050 Ixelles",1050,Ixelles,Belgique,50.8171079,4.3534327,,,,,
490,Wolf Sharing Food Market,Horeca,"Rue du Fossé aux Loups, 50 1000 Bruxelles",1000,Bruxelles,Belgique,50.8498781,4.3562662,VB,,,,
491,Woodpecker Bois de la Cambre,Kiosque,"Carr des Attelages, 1 1000 Bruxelles",1000,Bruxelles,Belgique,,,VB,,,,
492,Woodpecker Parc Royal,Kiosque,"Pl. des Palais, 5 1000 Bruxelles",1000,Bruxelles,Belgique,,,ALL,2.0,4.0,"Beau cadre, plein centre",
493,Woodpecker Parc Royal,Kiosque,"Pl. des Palais, 5 1000 Bruxelles",1000,Bruxelles,Belgique,50.8426278,4.3627154,VB,,,,
494,Xtreme,,"Avenue Henri Conscience, 137 1140 Evere",1140,Evere,Belgique,,,,,,,
495,Zanzibar,,,1200,Woluwe-Saint-Lambert,Belgique,50.8410768,4.4347083,,,,,
496,Zebra Bar,,"Place Saint-Géry, 33 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
497,Zoom Beer House,,"Rue de la Concorde, 59 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,
